Issue_Type	Issue_ID	Chromosome	Accession_1	Accession_2	Report_Type	Summary	Status	Status_Text	Description	Experiment_Type	Update	External_Information_Type	Resolution_Summary	Resolution_Information	Patch_Type	Fixed_in_Version	Affected_Version	Patch_GenBank_Accession	Patch_RefSeq_Accession	Patch_Region_Name
Path Problem	ZG-2797	10	FP016034.6	BX682234.9	TPF Analysis	"FP016034.6 is completely contained in BX682234.9"	Resolved	"none"	"FP016034.6 is completely contained in BX682234.9"	na	2013-10-03T07:01:55.000-0400	na	GRC Resolved by Electronic Means	"FP016034.6 removed from tile path"	na	GRCz10	na	na	na	na
Path Problem	ZG-2798	10	FQ377876.6	BX682234.9	TPF Analysis	"FQ377876.6 seems to be a haplotypic variation of its neighbours, FP016034.6 and BX682234.9"	Resolved	"none"	"FQ377876.6 seems to be a haplotypic variation of its neighbours, FP016034.6 and BX682234.9"	na	2011-07-06T05:22:53.000-0400	na	GRC-Duplicate	"Please see JIRA ticket ZG-3142 for all future updates regarding this issue."	na	GRCz10	na	na	na	na
Gap	ZG-3136	10	CU633885.4	FQ482079.1	TPF Analysis	"There is a gap in the chromosome between components CU633885.4 and FQ482079.1"	Resolved	"none"	"There is a gap in the chromosome between components CU633885.4 and FQ482079.1"	Clone Sequencing	2015-07-23T17:45:43.000-0400	na	GRC Resolved by Experimental Method	"FO681335 closes this gap"	na	GRCz10	Zv9	na	na	na
Gap	ZG-3137	10	CU929306.4	CU694495.23	TPF Analysis	"There is a gap in the chromosome between components CU929306.4 and CU694495.23"	Awaiting Exptl Data	"CH73-248E2 has been moved to ticket ZG-5131\n15-APR-14: CH211-261J3 is ready to enter the sequencing pipeline\nAccession for CH73-248E2: FQ311904"	"There is a gap in the chromosome between components CU929306.4 and CU694495.23"	Clone Sequencing	2015-07-23T17:45:43.000-0400	na	Unresolved	"na"	na	na	Zv9	na	na	na
Gap	ZG-3138	10	CU861476.9	FP236249.23	TPF Analysis	"There is a gap in the chromosome between components CU861476.9 and FP236249.23"	Awaiting Exptl Data	"12-DEC-14: DKEYP-115D6 has entered the sequencing pipeline"	"There is a gap in the chromosome between components CU861476.9 and FP236249.23"	Clone Sequencing	2015-07-14T03:55:03.000-0400	na	Unresolved	"na"	na	na	Zv9	na	na	na
Gap	ZG-3139	10	CU633881.7	CU681843.6	TPF Analysis	"There is a gap in the chromosome between components CU633881.7 and CU681843.6"	Resolved	"none"	"There is a gap in the chromosome between components CU633881.7 and CU681843.6"	Clone Sequencing	2015-07-23T17:45:41.000-0400	na	GRC Resolved by Electronic Means	"CH211-1F11 not required as the 2 clones overlap by approx 2kb"	na	GRCz10	Zv9	na	na	na
Gap	ZG-3141	10	BX664706.9	CU633857.10	TPF Analysis	"There is a gap in the chromosome between components BX664706.9 and CU633857.10"	Awaiting Exptl Data	"17-APR-13: CH73-227K23 has been cancelled\nAccessions: BX664706.9 CU633857.10\nAccession for CH73-227K23: FO082036"	"There is a gap in the chromosome between components BX664706.9 and CU633857.10"	Clone Sequencing	2015-07-23T17:45:56.000-0400	na	Unresolved	"na"	na	na	Zv9	na	na	na
Gap	ZG-3142	10	BX682234.9	BX294128.19	TPF Analysis	"There is a gap in the chromosome between components BX682234.9 and BX294128.19"	Resolved	"none"	"There is a gap in the chromosome between components BX682234.9 and BX294128.19"	Clone Sequencing	2015-07-23T17:45:57.000-0400	na	GRC-Gap Update	"This region has altered based on marker alignments"	na	na	Zv9	na	na	na
Gap	ZG-3143	10	BX682234.9	BX294128.19	User Report	"There is a gap in the chromosome between components BX682234.9 and BX294128.19"	Resolved	"none"	"There is a gap in the chromosome between components BX682234.9 and BX294128.19"	Clone Sequencing	2015-07-23T17:45:56.000-0400	na	GRC-Duplicate	"This issue is a duplicate of issue ZG-3142. Please see Jira issue ZG-3142 for all future updates regarding this issue."	na	GRCz10	Zv9	na	na	na
Gap	ZG-3147	10	CR628371.8	CU694479.6	TPF Analysis	"There is a gap in the chromosome between components CR628371.8 and CU694479.6"	Resolved	"none"	"There is a gap in the chromosome between components CR628371.8 and CU694479.6"	Clone Sequencing	2015-07-23T17:45:59.000-0400	na	GRC-Gap Update	"New evidence has highlighted a change in this region the new gaps created will be dealt with in ZG-5283 ZG-5284 and ZG-5285"	na	GRCz10	Zv9	na	na	na
